   0.00000   460.29669 
   0.85401  1259.07178 
   1.70802  1900.18774 
   2.56204  2497.03711 
   3.41605  2587.28491 
   4.27006  2621.27393 
   5.12407  2560.21753 
   5.97808  2324.45020 
   6.83209  2459.70215 
   7.68611  2277.33984 
   8.54012  2398.26831 
   9.39413  2547.89600 
  10.24814  2728.48389 
  11.10215  2663.63354 
  11.95617  2411.17676 
  12.81018  2729.32397 
  13.66419  2810.21997 
  14.51820  2808.87671 
  15.37221  2670.35254 
  16.22622  2951.17993 
  17.08024  2836.95312 
  17.93425  3028.67505 
  18.78826  3153.93506 
  19.64227  3334.10522 
  20.49628  3339.85034 
  21.35030  3408.76343 
  22.20431  3359.82324 
  23.05832  3383.93311 
  23.91233  3455.16992 
  24.76634  3258.56006 
  25.62035  3516.85840 
  26.47437  3432.58472 
  27.32838  3612.05347 
  28.18239  3687.50000 
  29.03640  3985.64746 
  29.89041  3973.79761 
  30.74442  4064.04736 
  31.59844  4038.66260 
  32.45245  4145.70361 
  33.30646  4211.66016 
  34.16047  4130.02979 
